,close,date,high,low,ma10,ma20,ma5,max_close,max_high,max_volume,min_close,min_low,min_volume,open,p_change,price_change,stock_code,turnover,v_ma10,v_ma20,v_ma5,volume
57,12.62,2016-03-30,12.62,12.14,12.67,11.911,12.4,14.31,14.66,221954.77,12.62,12.14,90181.28,12.21,5.17,0.62,002045,2.17,109532.59,127281.89,82566.46,90181.28
86,10.86,2016-05-12,10.98,9.99,11.771,12.36,11.116,12.89,13.37,314277.66,10.86,9.99,51382.06,10.5,1.5,0.16,002045,2.12,86915.95,94110.18,82879.81,88062.07
132,13.74,2016-07-19,13.83,13.43,14.041,14.24,13.804,13.85,13.93,259030.05,11.72,11.61,109621.06,13.43,2.31,0.31,002045,4.17,237178.48,296170.61,173829.24,172959.02
217,13.48,2016-11-28,13.75,13.2,13.744,14.005,13.458,13.48,13.75,116090.69,12.55,12.28,42937.93,13.33,1.97,0.26,002045,2.8,118624.38,171064.27,89441.41,116090.69
49,58.61,2017-01-03,58.8,57.04,59.503,62.317,58.16,59.07,59.25,15768.91,44.39,43.47,7066.69,57.05,2.97,1.69,300552,3.97,9276.11,13299.56,6957.04,10604.15
59,46.65,2017-01-17,47.47,43.73,52.323,55.913,48.408,48.1,48.43,15947.62,45.1,43.16,2.0,44.39,5.09,2.26,300552,5.97,11839.97,10558.04,13585.32,15947.62
20,27.65,2016-02-01,27.77,26.05,27.606,27.447,27.526,29.59,30.0,60382.37,27.65,26.05,21716.12,26.05,3.56,0.95,002359,1.49,56803.44,59417.12,51879.43,55176.11
155,24.74,2016-08-19,25.08,24.55,24.903,25.045,24.874,24.91,25.16,39844.8,24.1,24.03,22999.52,24.55,0.16,0.04,002359,0.81,68651.83,57544.41,45796.19,31155.49
8,15.65,2016-01-14,15.98,14.38,17.53,18.412,16.12,15.65,15.98,234082.2,12.62,11.76,104885.94,14.81,1.76,0.27,002389,5.72,168505.18,165982.55,169284.14,234082.2
230,17.24,2016-12-15,17.46,16.91,19.045,20.266,17.838,18.0,19.0,67870.73,17.24,16.82,12544.06,16.91,1.95,0.33,300127,1.4,35323.34,43725.78,41026.72,31017.09
287,19.01,2017-03-13,19.02,18.26,18.784,18.671,18.784,20.75,21.34,181601.3,18.78,18.26,36052.61,18.39,2.65,0.49,300127,1.99,42042.93,52104.94,35081.84,43967.25
19,11.1,2016-01-29,11.41,9.61,14.031,14.567,12.298,11.51,11.84,180346.72,10.36,9.61,47403.37,10.16,3.93,0.42,002726,16.57,162071.6,125724.23,133301.21,180346.72
108,15.42,2016-06-15,15.46,14.48,15.374,14.972,15.24,15.42,15.8,119722.97,14.28,13.5,51896.91,14.5,4.4,0.65,002726,11.0,142740.52,157412.9,105292.02,119722.97
19,51.39,2017-01-17,52.48,47.49,55.66,52.586,51.98,55.0,55.0,28937.48,49.36,47.49,1.0,49.11,3.65,1.81,300575,15.77,31202.73,24664.14,25558.82,28937.48
93,29.1,2016-05-23,29.6,28.5,28.682,28.63,28.248,34.95,34.98,120094.79,29.03,28.5,26129.2,28.63,4.68,1.3,600666,1.3,45970.15,43000.39,36933.73,60924.37
138,33.33,2016-08-04,33.83,32.61,34.057,35.705,33.506,33.33,33.83,164980.23,29.79,29.34,61360.95,32.98,0.94,0.31,600666,2.92,130903.12,117788.77,90503.86,144803.48
169,27.87,2016-10-11,28.0,27.11,29.236,29.321,28.68,28.4,28.75,224113.78,27.49,27.11,107586.77,27.35,1.64,0.45,600666,3.04,99020.41,77962.02,106433.68,151170.14
192,28.02,2016-11-11,28.1,27.5,27.866,27.954,27.734,29.6,29.8,461959.34,27.8,27.5,136477.73,27.61,1.3,0.36,600666,2.75,118873.42,139944.6,106148.28,136477.73
250,28.12,2017-02-15,28.19,27.4,28.409,28.362,28.068,28.3,28.57,318476.06,28.06,27.4,129504.77,27.8,1.92,0.53,600666,6.41,326787.57,355264.46,331250.55,318476.06
13,35.41,2017-01-17,36.44,32.9,34.287,30.383,36.796,36.5,36.87,85008.7,32.75,31.77,1.0,33.61,4.18,1.42,002835,31.48,41597.84,29730.2,82961.42,85008.7
251,25.15,2017-01-17,25.49,23.09,28.785,31.581,26.798,26.59,26.8,115040.0,24.93,23.09,6.0,24.29,2.9,0.71,002785,8.62,93690.79,124943.25,88470.13,84338.83
200,9.65,2016-11-01,9.65,9.23,9.658,9.764,9.492,9.65,9.75,528199.25,9.18,9.01,152113.66,9.23,4.55,0.42,600116,5.19,391891.36,543648.21,309303.24,461301.53
229,11.1,2016-12-27,11.2,11.0,11.402,11.548,11.246,12.38,13.0,374975.34,11.03,10.57,36503.27,11.01,0.27,0.03,600202,0.95,45865.84,47850.41,51776.58,36503.27
50,18.58,2016-10-10,18.64,18.03,19.074,19.091,18.316,18.91,18.91,83985.06,17.38,17.15,36651.35,18.04,3.11,0.56,000582,1.62,55935.85,69108.04,42827.96,42766.04
118,14.95,2017-01-17,14.99,14.56,16.019,16.148,15.598,15.3,15.36,22596.33,14.91,14.56,18.0,14.7,0.94,0.14,000582,0.86,37357.78,36002.43,31640.36,22596.33
8,37.71,2016-01-14,37.71,34.11,42.395,43.722,38.402,44.22,45.32,77632.59,37.71,34.11,31171.76,34.12,5.01,1.8,002192,4.66,43784.63,44169.37,43724.52,53320.49
31,47.92,2016-02-24,48.19,45.23,47.037,43.831,48.304,47.92,48.6,63539.64,38.1,36.0,28686.3,46.2,4.02,1.85,002192,4.82,54908.09,51917.2,52417.81,55196.27
85,38.99,2016-05-12,39.5,35.5,41.642,40.69,40.536,40.0,41.5,216028.7,36.55,35.5,89936.23,36.15,4.25,1.59,002192,11.01,222390.5,205519.24,230387.87,209802.31
179,28.38,2016-09-27,28.38,25.8,26.467,27.627,26.598,28.38,28.69,213644.72,27.6,25.8,31406.36,25.8,10.0,2.58,002192,11.22,54329.89,42994.69,65819.87,213644.72
204,26.79,2016-11-10,26.98,26.5,27.159,27.775,26.698,27.29,27.58,54976.36,26.52,26.47,24685.73,26.5,1.55,0.41,002192,1.47,36072.63,46450.14,30085.23,27946.06
222,25.62,2016-12-06,25.91,25.26,26.223,26.546,25.824,26.01,26.18,70100.45,21.31,20.93,21293.33,25.34,1.1,0.28,002192,1.28,34922.06,32694.25,26469.2,24331.48
229,21.68,2016-12-15,21.89,20.93,24.158,25.348,22.596,22.67,23.64,54273.71,21.68,20.93,15332.6,21.25,1.74,0.37,002192,1.65,37215.2,35503.01,47159.45,31360.54
251,19.88,2017-01-17,19.96,18.91,21.824,21.987,21.008,21.51,21.77,34430.11,19.46,18.91,9406.12,19.37,3.0,0.58,002192,1.74,30503.65,26494.19,30525.96,33198.16
73,36.41,2016-04-22,36.48,35.81,37.783,37.68,37.054,37.84,38.14,32813.58,36.28,35.75,14763.45,35.88,1.11,0.4,002393,0.93,34444.65,35805.28,28382.18,16943.56
