,close,date,high,low,ma10,ma20,ma5,max_close,max_high,max_volume,min_close,min_low,min_volume,open,p_change,price_change,stock_code,turnover,v_ma10,v_ma20,v_ma5,volume
19,21.3,2016-01-29,21.58,19.98,23.2,24.127,21.95,23.35,23.72,51480.75,21.17,19.98,24547.06,20.5,3.95,0.81,002152,0.57,46553.79,55037.03,45953.4,48826.04
181,15.32,2016-10-18,15.33,15.0,15.155,15.022,15.256,15.45,15.48,84064.35,15.1,15.0,44073.32,15.05,1.46,0.22,002152,0.56,50137.75,48224.91,53066.94,72490.21
243,12.69,2017-01-17,12.75,12.33,13.326,13.389,13.036,13.04,13.07,58505.8,12.6,12.33,3.0,12.4,1.93,0.24,002152,0.45,124340.92,83904.03,82976.74,58505.8
4,49.8,2016-05-20,50.87,48.4,69.818,72.634,58.062,51.91,53.87,149312.22,32.49,32.48,49220.22,48.88,-2.33,-1.19,300366,25.35,34677.77,35610.34,38713.91,90710.79
144,36.36,2017-01-04,37.0,34.06,36.581,39.283,35.156,36.36,37.0,49658.79,29.24,28.94,13892.28,34.06,6.75,2.3,300366,6.88,30908.58,46720.81,29540.03,49658.79
153,30.65,2017-01-17,31.0,29.09,33.731,35.251,32.03,31.7,32.5,28538.17,30.04,29.09,10.0,29.39,4.82,1.41,300366,3.96,25813.87,27556.19,24077.25,28538.17
108,12.21,2016-06-15,12.34,11.8,12.626,12.616,12.306,12.47,12.49,55047.52,11.93,11.71,19809.84,11.91,1.83,0.22,600093,1.47,51528.08,47319.64,45378.44,47255.95
232,13.49,2016-12-15,13.55,13.31,14.362,14.946,13.936,14.36,14.44,65278.65,13.49,13.31,19407.07,13.31,1.05,0.14,600093,1.09,39934.15,47068.74,48989.23,35269.17
248,13.79,2017-01-09,13.83,13.52,14.11,13.911,13.94,13.94,13.98,60509.91,12.58,12.41,24937.25,13.62,0.44,0.06,600093,1.07,52530.62,44782.9,60459.92,34613.72
6,9.09,2016-01-12,9.19,8.73,10.727,11.464,9.792,9.78,9.86,220106.84,8.65,8.63,91043.32,9.0,1.23,0.11,600664,0.75,124206.65,124791.55,140165.14,144055.16
91,8.22,2016-05-19,8.3,8.05,8.284,8.348,8.126,8.27,8.32,136715.89,8.0,7.93,56256.27,8.14,2.24,0.18,600664,0.47,128185.84,101214.84,81637.66,117470.86
135,8.4,2016-07-22,8.42,8.32,8.408,8.348,8.418,8.46,8.48,375862.06,8.21,8.16,55106.17,8.32,0.0,0.0,600664,0.22,79919.73,68246.15,67268.85,55106.17
252,9.06,2017-01-13,9.1,8.75,8.955,8.862,8.98,9.18,9.28,233616.34,8.95,8.75,34050.1,8.82,2.49,0.22,600664,0.32,72396.34,69029.38,63087.39,79949.0
45,8.97,2016-03-14,9.13,8.78,9.365,9.22,9.09,9.64,9.79,318018.72,8.49,8.35,125488.45,8.84,2.75,0.24,002378,2.18,314848.22,283759.65,238850.54,201276.33
86,9.63,2016-05-12,9.69,8.89,10.453,10.696,9.752,9.76,10.31,399382.34,9.16,8.89,120322.97,9.17,3.77,0.35,002378,3.07,300285.16,399455.05,321622.4,283151.78
137,12.18,2016-07-26,12.18,11.8,12.184,11.739,11.982,12.21,12.7,445127.34,11.11,10.87,162896.0,11.85,3.05,0.36,002378,2.16,276841.12,348205.31,182637.52,199713.88
173,10.14,2016-09-14,10.25,9.98,10.713,10.985,10.446,10.37,10.6,104896.21,9.84,9.81,48376.0,10.0,-0.2,-0.02,002378,0.73,101387.04,117365.62,96437.28,67605.28
73,23.71,2016-04-22,23.79,22.8,25.809,26.254,24.682,25.06,25.98,183568.45,23.03,22.67,88519.32,23.0,1.5,0.35,300333,3.09,166274.33,204451.93,152582.94,102181.92
167,20.9,2016-09-06,20.99,20.12,20.97,21.191,20.732,21.0,21.31,75736.97,19.89,19.8,26708.29,20.47,2.4,0.49,300333,2.16,50079.48,54928.12,58022.52,71478.11
213,20.03,2016-11-22,20.09,19.64,19.723,19.491,19.856,20.17,20.53,130037.74,19.11,18.89,40527.04,19.65,1.88,0.37,300333,2.1,85454.78,74797.8,65088.17,69351.0
289,15.44,2017-03-15,15.56,15.25,15.617,15.531,15.512,15.64,15.93,84009.14,15.37,15.18,39160.93,15.32,0.46,0.07,300333,1.18,46348.88,55646.78,37544.18,39160.93
19,8.17,2016-01-29,8.28,7.77,8.878,9.453,8.368,9.09,9.19,268205.56,8.12,7.77,77467.15,7.83,5.15,0.4,000931,2.01,161337.19,183808.92,140304.38,133949.58
57,31.85,2016-03-30,31.96,30.27,31.245,27.645,31.416,34.9,35.76,78152.23,30.77,29.9,32943.91,30.27,6.92,2.06,300122,1.21,56959.86,40520.04,46672.75,36664.26
8,8.93,2016-01-14,8.97,7.9,10.901,11.857,9.514,9.2,9.34,180319.95,7.93,7.53,107134.51,8.1,4.57,0.39,002328,4.49,192114.01,204816.39,176237.46,145891.2
142,9.45,2016-08-02,9.46,9.33,9.913,10.189,9.542,9.92,9.97,64189.18,9.44,9.33,30254.16,9.33,1.07,0.1,002328,0.94,81006.74,96271.15,68933.82,30482.44
108,6.87,2016-06-15,7.05,6.4,6.842,6.687,6.746,6.93,7.05,143370.98,6.75,6.4,31461.17,6.46,5.86,0.38,600791,3.17,75356.81,75202.45,77139.41,143370.98
291,8.4,2017-03-16,8.46,8.21,8.297,8.325,8.288,8.4,8.46,76790.66,8.31,8.21,57636.71,8.23,2.07,0.17,600791,1.52,44310.41,51124.59,47041.49,68921.39
189,15.74,2016-11-14,16.03,15.45,15.24,14.913,15.576,16.13,16.33,343458.09,15.61,15.24,93662.06,15.46,2.21,0.34,002019,4.93,234909.19,169877.46,237565.23,275994.41
271,16.95,2017-03-15,17.05,16.67,17.187,17.271,16.914,16.97,17.07,111113.49,16.64,16.57,61118.9,16.74,1.31,0.22,002019,1.51,141130.11,188279.66,126893.73,84736.28
8,20.58,2016-01-14,20.73,18.22,23.863,26.454,20.894,20.99,21.33,179017.48,18.59,17.37,90082.84,18.35,6.69,1.29,300171,4.21,133577.11,165070.19,147233.52,133757.11
36,16.9,2016-03-01,17.17,16.04,19.45,19.226,18.176,17.88,18.44,136057.7,16.76,16.04,50002.84,16.57,1.99,0.33,300171,3.64,127983.44,107431.93,129507.2,115605.5
73,18.96,2016-04-22,19.04,18.31,20.672,20.374,19.574,19.1,19.38,115086.92,18.05,17.69,59355.68,18.35,2.88,0.53,300171,2.6,188323.67,171289.43,121665.23,82663.84
142,17.15,2016-08-02,17.17,16.96,17.641,18.182,17.178,17.71,17.75,79261.24,16.89,16.7,24618.19,17.0,0.65,0.11,300171,0.74,55241.39,80175.58,55336.5,24618.19
252,13.87,2017-01-17,13.99,13.38,14.686,14.843,14.34,13.94,14.07,45587.76,13.32,13.18,4.0,13.65,1.46,0.2,300171,0.75,22268.94,21445.15,25499.14,24866.82
270,14.3,2017-02-16,14.3,13.71,14.072,13.896,14.062,14.36,14.69,81168.96,14.08,13.71,18645.63,13.8,3.4,0.47,300171,1.57,33830.56,32134.74,31908.23,52394.76
8,11.33,2016-01-14,11.33,10.2,13.313,14.738,11.836,12.65,13.23,157682.58,10.36,9.7,50558.27,10.2,3.75,0.41,300123,3.08,70839.42,71127.17,67152.86,84434.6
64,15.23,2016-04-11,15.26,14.49,14.529,13.533,14.96,15.62,15.97,111235.06,14.03,13.5,31677.04,14.49,5.62,0.81,300123,2.84,120912.24,116011.64,94514.83,77845.58
102,13.17,2016-06-15,13.27,12.43,13.516,13.048,13.216,14.02,14.1,73988.32,13.14,12.43,25897.82,12.6,3.95,0.5,300123,1.4,53105.61,52110.92,42000.39,38305.43
86,10.94,2016-05-30,11.07,10.56,16.241,20.752,11.1,12.33,12.43,231206.69,10.94,10.56,59938.15,10.79,1.02,0.11,002020,2.8,79306.74,61444.16,98169.82,129746.98
95,11.47,2016-06-14,11.53,11.08,11.635,14.62,11.68,12.51,12.55,144765.77,11.47,11.08,57713.24,11.12,2.5,0.28,002020,1.29,132612.98,102631.9,98368.11,59938.15
109,12.61,2016-07-04,12.73,12.33,12.269,12.032,12.46,12.61,12.73,173638.53,12.05,11.97,67778.6,12.33,2.35,0.29,002020,1.79,95635.8,101756.24,83491.76,82850.07
155,12.59,2016-09-06,12.62,12.26,12.575,12.358,12.488,12.59,12.63,111678.97,11.91,11.9,35623.17,12.29,2.44,0.3,002020,2.06,132892.74,107462.63,85176.26,95211.18
188,12.25,2016-11-03,12.3,12.14,12.491,12.486,12.304,12.43,12.51,90880.18,12.25,12.14,35775.06,12.15,0.49,0.06,002020,1.24,69883.97,70973.39,81054.55,57481.53
243,10.94,2017-01-20,11.01,10.77,11.094,11.197,10.904,11.31,11.32,48828.61,10.94,10.77,44.0,10.79,1.2,0.13,002020,0.44,29774.32,32029.92,32201.46,20300.48
85,16.58,2016-05-11,16.85,16.21,17.164,17.302,16.726,16.58,16.85,55072.72,15.38,15.27,17238.44,16.42,1.72,0.28,000501,1.09,38372.63,40581.1,39183.24,55072.72
99,15.78,2016-05-31,15.8,15.14,15.476,16.073,15.384,15.85,15.93,76987.68,14.92,14.76,27116.29,15.14,4.16,0.63,000501,1.52,32160.75,32738.69,38690.07,76987.68
237,20.0,2016-12-26,21.33,19.47,20.206,20.569,19.988,20.75,21.33,78840.26,19.52,19.42,26879.49,19.52,1.68,0.33,000501,1.55,76890.87,91393.69,61613.4,78819.25
234,34.45,2017-02-21,34.48,33.18,35.544,35.653,34.636,35.12,35.66,43112.03,34.24,33.18,17949.82,33.73,2.13,0.72,603027,9.93,31072.33,32148.03,29498.24,39737.65
68,19.17,2016-04-22,19.17,17.2,19.06,18.614,18.418,20.72,21.21,200356.28,19.17,17.2,66451.86,17.2,9.98,1.74,002242,2.23,111990.3,110219.85,99233.37,170541.75
94,18.04,2016-05-31,18.07,17.29,17.681,18.896,17.614,18.81,18.97,153998.12,17.43,17.03,51589.1,17.29,4.34,0.75,002242,1.62,69537.99,102658.0,66127.48,123514.84
162,20.58,2016-09-06,20.6,20.1,20.568,20.628,20.404,20.69,21.07,46147.67,19.63,19.48,18307.0,20.3,1.38,0.28,002242,0.38,33997.15,49324.93,23723.2,29029.62
267,17.8,2017-02-20,17.85,17.42,17.81,17.845,17.67,18.49,18.52,140532.61,17.8,17.42,36260.8,17.53,1.6,0.28,002242,1.11,40969.3,29145.6,51249.22,84624.77
8,34.1,2016-01-14,34.75,30.46,41.289,45.547,35.464,36.37,36.98,70048.8,30.9,29.46,15429.76,32.4,4.0,1.31,300279,5.17,22325.88,22573.23,26558.81,29543.17
204,48.22,2016-12-05,48.22,46.5,50.33,50.164,48.594,48.51,48.86,22961.9,41.99,41.22,7316.44,46.8,2.6,1.22,300279,1.92,20626.63,19730.77,18167.12,15873.63
234,40.23,2017-01-17,40.3,37.4,41.791,42.596,40.568,40.6,40.84,9386.31,38.7,37.4,3587.1,38.0,5.34,2.04,300279,1.13,9088.71,8597.65,9285.73,9386.31
262,40.45,2017-03-03,40.75,39.58,39.938,39.9,40.086,44.15,44.15,54950.79,40.0,39.58,7854.19,39.59,1.71,0.68,300279,1.26,8202.64,8583.93,8534.91,10409.53
19,8.37,2016-01-29,8.52,7.99,9.527,9.949,8.91,10.71,11.27,234725.34,8.23,7.99,77923.81,7.99,4.62,0.37,300163,3.77,146914.12,180581.8,127249.08,108632.99
79,13.63,2016-11-18,13.8,13.34,13.801,13.791,13.546,13.63,13.8,107805.26,13.03,12.94,35093.15,13.38,1.56,0.21,300163,3.27,90845.56,95427.47,78460.57,107805.26
115,9.51,2017-01-17,9.54,8.85,10.084,10.715,9.616,10.17,10.35,113639.0,9.38,8.85,5.0,8.97,6.26,0.56,300163,2.73,79530.53,72471.79,72965.37,89976.91
153,9.73,2017-03-16,9.82,9.6,9.719,9.686,9.676,9.73,9.82,72742.32,9.6,9.54,42382.0,9.63,1.35,0.13,300163,2.15,74842.68,95231.99,65077.86,70910.07
65,27.25,2016-04-19,27.51,26.65,27.335,26.74,27.166,27.25,28.48,141269.38,25.07,24.75,21369.67,27.05,1.34,0.36,000902,2.35,37983.47,44940.61,40492.16,60675.59
92,22.49,2016-05-27,22.78,22.23,23.064,23.772,22.644,22.49,22.78,125006.4,10.96,10.96,30798.85,22.4,0.04,0.01,000902,1.08,28920.14,29155.89,37177.04,33145.52
122,12.61,2016-07-12,12.64,12.35,12.671,12.271,12.642,13.69,13.94,328349.41,12.61,12.35,40776.03,12.48,1.04,0.13,000902,1.14,83937.75,106274.53,65675.35,70072.11
224,11.35,2016-12-14,11.89,10.87,11.477,11.447,11.324,12.04,12.12,283066.06,11.35,10.87,91432.71,10.87,3.65,0.4,000902,4.05,196184.12,177509.48,175983.64,244905.7
247,10.34,2017-01-17,10.36,9.97,11.286,11.484,10.842,10.34,10.36,174013.45,9.76,9.68,2.0,10.25,0.68,0.07,000902,1.65,129114.66,133970.75,129352.87,99929.18
267,9.75,2017-02-20,9.75,9.62,9.926,9.955,9.828,10.03,10.15,209817.64,9.68,9.62,82395.25,9.69,0.62,0.06,000902,1.61,125443.56,102610.39,129257.63,97501.29
277,9.82,2017-03-06,9.82,9.69,9.864,9.895,9.78,9.86,9.88,168123.84,9.47,9.47,63317.03,9.7,1.45,0.14,000902,1.77,121092.45,123268.01,104305.85,107033.82
45,9.86,2016-03-14,10.07,9.53,10.265,9.863,10.026,11.2,11.27,656107.56,9.66,9.46,207781.45,9.65,3.35,0.32,600432,3.78,544450.57,528812.67,387760.11,306871.72
72,9.5,2016-04-21,9.8,9.03,9.622,9.765,9.56,9.5,9.8,432247.66,7.27,7.27,15103.0,9.18,3.94,0.36,600432,5.01,330223.23,304209.52,323375.42,406482.84
86,6.63,2016-05-13,6.73,6.49,7.291,8.354,6.742,6.89,6.95,139345.89,6.47,6.42,80083.93,6.53,0.61,0.04,600432,1.37,178306.9,235796.23,132113.55,111214.89
107,6.79,2016-06-15,6.85,6.52,6.878,6.788,6.8,8.63,8.63,218630.41,6.79,6.52,2137.83,6.53,2.57,0.17,600432,1.34,111275.8,104345.37,97486.75,108982.16
186,5.68,2017-01-18,5.78,5.5,6.14,6.624,5.728,5.92,6.0,165876.42,5.68,5.5,61414.53,5.53,2.53,0.14,600432,2.05,154841.35,113122.65,157794.32,165876.42
19,12.96,2016-01-29,13.1,12.3,14.729,15.31,13.352,13.88,13.99,61782.66,12.79,12.3,29529.83,12.37,5.28,0.65,002391,3.03,99653.43,89476.24,78282.16,61782.66
174,15.35,2016-09-19,15.45,15.24,15.616,15.807,15.382,15.45,15.54,35003.68,14.99,14.81,15616.79,15.24,0.59,0.09,002391,0.71,26729.98,46579.87,25021.88,15616.79
19,12.03,2016-01-29,12.25,11.48,12.873,13.697,12.274,13.5,13.66,101172.58,12.03,11.48,46394.98,11.62,3.71,0.43,002215,1.48,99061.27,102383.12,87730.22,101172.58
44,10.15,2016-03-11,10.28,9.95,10.599,11.809,10.426,11.87,12.35,220928.3,10.15,9.95,40252.55,9.95,-0.69,-0.07,002215,0.59,94790.38,88929.43,70677.26,40252.55
73,10.89,2016-04-22,10.89,10.56,11.716,11.75,11.038,10.89,11.1,262925.5,10.38,10.08,87145.28,10.6,1.68,0.18,002215,1.76,201227.08,166601.59,262228.57,120808.32
99,10.44,2016-05-31,10.5,9.72,10.013,10.169,9.984,10.47,10.62,240502.94,9.78,9.65,66813.55,9.73,7.3,0.71,002215,3.3,111067.35,124197.76,115659.35,228580.7
174,10.4,2016-09-19,10.48,10.24,10.708,10.632,10.472,10.4,10.48,203141.31,10.0,9.96,53867.49,10.24,1.36,0.14,002215,0.78,99962.74,99246.64,72338.99,53867.49
237,10.94,2016-12-26,10.95,10.59,10.971,10.806,10.92,11.3,11.35,163438.19,10.9,10.59,61657.52,10.65,1.86,0.2,002215,1.05,123682.54,114646.15,86795.81,72581.1
290,11.0,2017-03-16,11.16,10.88,11.151,11.329,10.984,11.0,11.16,140418.8,10.82,10.71,78249.89,10.9,1.38,0.15,002215,2.02,90567.74,101417.62,92774.75,140418.8
73,3.41,2016-04-22,3.41,3.36,3.504,3.484,3.452,3.42,3.43,138696.14,3.34,3.31,40680.53,3.38,0.29,0.01,600033,0.27,141016.13,167136.58,110636.89,75260.9
254,3.45,2017-01-17,3.45,3.4,3.512,3.491,3.474,3.53,3.53,169888.19,3.45,3.4,83220.56,3.42,0.88,0.03,600033,0.34,127278.72,115182.43,115201.08,93011.74
288,3.61,2017-03-13,3.61,3.55,3.625,3.654,3.6,3.65,3.66,181445.62,3.58,3.55,82222.89,3.57,1.12,0.04,600033,0.43,127636.47,220322.83,114937.35,117220.29
19,15.25,2016-01-29,15.5,14.48,17.044,18.055,15.728,16.44,16.71,81474.35,14.9,14.48,36634.72,14.51,4.59,0.67,600195,1.9,81479.77,89298.34,73622.35,81474.35
207,21.53,2016-11-10,21.62,21.26,21.634,21.806,21.44,21.77,21.95,66365.74,20.82,20.77,16773.42,21.39,1.41,0.3,600195,0.76,30819.98,30676.02,30084.38,32547.26
254,20.08,2017-01-17,20.18,19.62,21.042,20.969,20.534,20.35,20.46,29047.75,20.02,19.62,9948.68,19.8,0.65,0.13,600195,0.42,39529.14,38816.97,31420.57,18043.97
68,57.18,2016-05-31,57.18,52.11,54.153,55.898,53.812,57.82,59.4,101031.71,51.1,50.7,38178.52,52.39,10.0,5.2,000626,4.26,48203.95,66702.12,45855.56,86224.59
76,51.76,2016-06-14,52.93,51.11,55.305,55.021,54.534,59.24,61.9,185849.89,51.27,50.7,35508.93,51.11,1.29,0.66,000626,2.19,60464.61,55467.39,47035.07,44240.35
186,29.68,2016-11-28,30.22,29.25,30.138,30.574,29.774,29.68,30.22,82035.17,27.01,26.81,34036.49,29.29,1.78,0.52,000626,1.76,63063.45,92298.95,60777.28,71238.08
211,25.06,2017-01-03,25.37,24.67,25.374,25.921,24.996,25.79,26.7,63694.2,22.06,21.47,19671.0,24.67,1.66,0.41,000626,0.64,24433.0,35061.31,21310.67,25866.24
200,18.43,2016-11-03,18.63,18.2,18.771,18.872,18.478,18.48,18.63,173043.06,17.9,17.4,48434.9,18.25,0.71,0.13,002138,0.82,71608.45,86106.73,59743.03,55029.94
252,16.3,2017-01-17,16.48,15.93,17.042,17.221,16.58,17.15,17.24,60548.23,16.29,15.93,3.0,16.02,1.88,0.3,002138,0.6,58900.51,46706.23,63258.79,40169.0
19,13.33,2016-01-29,13.51,12.81,13.748,14.266,13.242,13.76,13.89,528262.62,13.15,12.81,166483.2,12.85,3.82,0.49,600887,0.88,492520.09,586033.15,522995.74,528262.62
45,13.6,2016-03-14,13.72,13.37,13.709,13.601,13.58,14.59,14.85,799421.0,13.6,13.37,204693.61,13.46,1.8,0.24,600887,0.77,522362.59,453241.24,372974.78,462550.72
167,16.73,2016-09-06,16.75,16.27,17.065,17.65,16.63,18.56,18.59,1894588.25,15.98,15.83,248257.48,16.38,2.32,0.38,600887,1.02,535347.96,489361.96,455218.31,618250.69
222,17.39,2016-12-29,17.4,17.07,17.487,17.833,17.386,17.9,17.98,359469.41,17.39,17.07,170016.44,17.21,0.58,0.1,600887,0.44,264385.42,595177.51,274357.6,267724.66
273,18.27,2017-03-20,18.3,18.04,18.305,18.229,18.328,18.27,18.3,497022.12,18.27,18.04,497022.12,18.13,0.83,0.15,600887,0.82,482353.69,498116.12,529495.09,497022.12
8,67.86,2016-01-14,68.4,61.0,75.543,86.413,69.39,72.5,74.0,24330.71,63.03,61.0,18497.74,61.75,5.21,3.36,300473,9.14,17460.33,21266.52,19595.6,22844.31
8,33.39,2016-01-14,34.0,30.08,39.774,43.219,34.814,35.6,36.34,28303.6,30.93,30.08,10799.87,31.0,3.7,1.19,300357,3.12,27390.52,28570.16,27863.01,22170.28
36,31.9,2016-03-01,32.24,29.6,35.413,35.904,33.044,33.11,33.61,18286.06,30.81,29.6,8384.09,30.2,6.8,2.03,300357,2.22,16037.81,16452.13,16614.78,15722.9
261,34.74,2017-02-06,34.87,34.08,34.91,35.485,34.744,36.25,36.87,13379.82,34.62,34.08,3613.92,34.08,1.17,0.4,300357,0.62,6403.79,8164.13,6913.43,5808.68
105,11.64,2016-06-08,11.69,11.33,12.684,12.537,12.252,11.64,11.69,739886.31,10.74,10.56,127053.49,11.43,2.02,0.23,000800,5.24,353085.04,213244.11,547315.22,739886.31
121,11.0,2016-07-04,11.02,10.72,10.851,11.129,10.92,11.15,11.31,330731.12,10.94,10.72,156126.53,10.77,1.57,0.17,000800,2.03,222424.09,364455.1,241589.54,286883.38
212,11.64,2016-11-21,11.78,11.37,11.633,11.6,11.558,12.0,12.33,330689.81,11.64,11.37,114067.36,11.37,2.38,0.27,000800,1.6,231913.5,252689.66,189080.43,225965.16
8,10.36,2016-01-14,10.5,9.36,11.445,12.639,10.448,10.36,10.58,246681.8,8.02,7.6,103167.64,9.6,4.12,0.41,002303,3.7,201637.53,240533.17,201784.78,226354.75
19,8.25,2016-01-29,8.25,7.55,9.008,10.05,8.246,10.34,10.54,348645.88,7.99,7.55,111654.0,7.55,10.0,0.75,002303,3.99,177209.08,185469.95,170241.04,243773.11
99,10.46,2016-05-31,10.47,9.88,9.996,10.181,10.102,11.22,11.57,226512.31,10.46,9.88,45385.52,9.88,6.08,0.6,002303,2.37,77648.31,97681.85,69262.66,145024.95
174,12.6,2016-09-19,12.65,12.4,12.893,13.098,12.638,14.0,14.84,207406.22,12.6,12.4,37346.08,12.47,1.21,0.15,002303,0.37,52570.75,52730.92,50187.75,37346.08
250,9.1,2017-01-17,9.1,8.88,9.899,10.014,9.59,9.37,9.57,99888.42,9.0,8.88,32.0,9.03,0.66,0.06,002303,0.67,80538.25,87053.77,82090.07,68412.13
9,10.2,2016-01-18,10.41,9.66,10.7,11.446,10.184,10.61,10.83,265135.81,7.89,7.85,77094.79,9.7,1.39,0.14,600500,0.91,206906.57,283681.44,179002.62,156310.52
69,10.46,2016-04-21,10.68,9.75,10.377,10.484,10.258,10.46,10.68,285893.31,9.78,9.5,54399.83,9.75,6.52,0.64,600500,1.66,142286.78,144908.38,156437.46,285893.31
105,8.7,2016-06-15,8.75,8.42,8.882,8.787,8.726,8.99,9.03,143050.08,8.49,8.31,45273.8,8.49,2.11,0.18,600500,0.39,67208.88,65479.49,58875.73,66895.15
218,12.13,2017-01-03,12.21,11.66,11.955,11.609,11.884,12.55,12.99,552747.88,11.58,11.11,282020.06,11.73,4.03,0.47,600500,2.23,444716.24,375224.9,316610.35,384359.03
8,10.56,2016-01-14,10.65,9.81,11.187,11.953,10.404,10.56,10.65,149326.16,9.25,8.7,75442.42,9.85,4.45,0.45,600285,1.86,133272.42,135436.09,120182.1,86746.99
36,9.28,2016-03-01,9.34,8.9,9.931,9.726,9.538,9.67,9.75,97174.42,9.16,8.9,29546.54,9.08,2.31,0.21,600285,1.01,70642.51,79995.74,67769.15,53567.85
108,9.78,2016-06-15,9.81,9.44,10.008,10.033,9.812,10.76,10.9,216760.34,9.77,9.44,42373.34,9.5,2.09,0.2,600285,1.47,70455.58,60100.67,73924.44,77764.62
248,12.65,2017-01-09,12.66,12.38,12.556,12.3,12.606,12.65,12.69,75550.41,11.64,11.3,33918.74,12.49,1.77,0.22,600285,0.93,69201.8,68173.75,63043.44,50004.39
254,11.85,2017-01-17,11.91,11.62,12.302,12.347,12.05,12.04,12.04,75550.41,11.64,11.49,26604.0,11.76,0.08,0.01,600285,0.78,56176.25,63622.15,49632.8,41715.01
8,17.6,2016-01-14,18.1,15.55,20.729,24.176,18.058,18.61,19.5,237049.97,15.26,14.59,92633.47,15.88,5.39,0.9,300096,3.98,156328.78,196161.66,163217.46,148459.31
36,14.35,2016-03-01,14.98,13.4,17.35,16.67,15.85,15.61,16.19,215008.06,14.02,13.4,85586.84,13.5,2.5,0.35,300096,5.48,197393.4,192069.31,183156.23,204225.31
249,16.95,2017-02-16,16.95,16.53,16.655,16.147,16.914,16.95,17.18,90672.0,15.85,15.63,35559.06,16.74,1.68,0.28,300096,0.95,63951.99,52304.89,65133.34,35559.06
57,55.02,2016-09-19,55.28,54.09,55.721,58.206,54.366,55.02,55.28,21032.15,48.68,48.05,5762.53,54.1,2.33,1.25,603909,5.5,16104.44,20814.34,12434.96,13741.67
114,50.09,2016-12-14,51.48,48.38,53.851,57.971,51.174,57.15,58.6,59760.81,50.09,48.38,7929.14,49.28,1.64,0.81,603909,6.84,11617.39,13963.13,13250.41,17096.95
137,46.94,2017-01-17,48.25,43.06,50.449,51.96,49.19,49.06,49.5,63767.07,46.12,43.06,7602.16,45.5,2.07,0.95,603909,12.58,15646.58,19752.7,18351.26,31443.27
157,45.56,2017-02-21,45.92,43.95,46.546,47.283,45.37,48.04,48.48,19274.09,45.08,43.95,8689.15,44.17,3.24,1.43,603909,6.17,13717.15,21411.89,13206.82,15424.02
19,19.93,2016-01-29,20.43,18.33,22.298,23.38,21.064,22.35,24.09,112999.26,19.62,18.33,35267.73,18.33,5.95,1.12,002733,7.66,102775.79,108080.42,81798.26,72167.44
86,23.6,2016-05-12,23.78,21.53,24.684,24.251,23.784,25.49,26.26,230408.83,23.17,21.53,79037.67,22.25,3.6,0.82,002733,11.43,136389.46,103569.08,131184.93,107701.09
180,23.51,2016-09-27,23.55,23.02,23.975,24.232,23.808,24.79,24.97,51032.51,23.19,23.02,11073.75,23.22,1.03,0.24,002733,1.67,21269.3,27401.46,17898.99,17033.04
230,21.43,2016-12-15,21.78,21.12,23.3,24.114,21.942,21.72,21.89,26201.68,20.58,20.25,10663.68,21.12,1.52,0.32,002733,1.82,42052.63,57344.42,35825.21,21234.0
252,18.42,2017-01-17,18.51,18.0,20.049,20.488,19.288,19.39,20.08,42894.17,18.25,18.0,3.0,18.05,2.05,0.37,002733,1.44,19491.56,18291.04,16756.71,16763.08
8,8.68,2016-01-14,8.81,8.0,9.65,11.051,8.73,9.15,9.23,258046.5,7.98,7.61,135229.98,8.1,4.08,0.34,000021,1.19,194432.25,263311.34,201635.41,174316.91
19,7.94,2016-01-29,8.04,7.56,8.456,8.87,8.078,8.95,9.32,451090.72,7.94,7.56,136910.25,7.56,4.75,0.36,000021,1.16,196505.5,196187.43,177153.54,170713.27
108,8.65,2016-06-15,8.96,8.11,8.673,8.434,8.556,11.06,11.06,858371.0,8.58,8.11,178601.19,8.16,4.85,0.4,000021,1.23,216318.1,179644.33,157772.77,180898.27
167,11.18,2016-09-06,11.24,10.65,10.936,10.994,10.886,11.2,11.25,390352.53,10.37,10.31,67305.16,10.74,4.29,0.46,000021,2.66,198682.17,290233.87,192572.95,390352.53
30,25.2,2016-03-01,25.3,22.25,30.103,29.861,27.392,26.7,27.26,101826.4,23.2,22.0,44128.2,24.65,2.23,0.55,002235,5.97,51512.25,57743.86,57868.36,75386.64
193,18.31,2016-11-10,18.37,18.13,18.676,19.321,18.308,19.16,19.53,88599.0,18.3,18.13,29518.53,18.13,1.38,0.25,002235,1.46,36600.77,43051.61,37544.18,33098.36
235,16.5,2017-01-10,16.79,16.31,16.348,16.233,16.464,16.5,16.79,66639.53,13.67,13.32,19005.51,16.32,1.85,0.3,002235,1.39,29296.48,31256.44,29818.7,31479.36
240,13.94,2017-01-17,14.16,13.32,15.82,16.003,15.176,14.39,14.45,42689.78,13.67,13.32,16079.18,13.58,-1.14,-0.16,002235,1.88,31721.41,30288.89,33624.12,42689.78
73,30.41,2016-04-22,30.48,29.4,33.16,33.491,31.83,31.04,31.8,223838.8,29.15,29.0,79865.55,29.7,1.37,0.41,300418,3.22,291026.06,319918.08,225929.05,133739.3
167,26.79,2016-09-06,26.84,26.02,26.694,26.911,26.558,26.79,26.9,116411.51,25.33,25.3,36865.11,26.45,1.36,0.36,300418,1.63,48318.14,58886.04,46623.11,67304.85
